Statistic Label,Month,NACE Group,UNIT,VALUE
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 July,"All retail businesses, excluding motor trades and bars",%,0.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 July,"All retail businesses, excluding motor trades",%,0.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 July,"All retail businesses, excluding motor trades, automotive fuel and bars",%,1.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 July,"Retail sale of food (4711,4721 to 4729)",%,-0.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 July,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 July,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,-1.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 July,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,-1.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 July,"Retail sale of electrical goods (4741 to 4743,4754)",%,-2.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 July,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,4.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 July,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,2.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 July,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,2.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 July,"Retail sale of books, newspapers and stationery (4761,4762)",%,0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 July,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,-2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,Motor trades (45),%,-2.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,0.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,Department stores (4719),%,2.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,Retail sale of automotive fuel (4730),%,1.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,"Retail sale of hardware, paints and glass (4752)",%,-1.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,Retail sale of furniture and lighting (4759),%,3.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,Bars (5630),%,5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,All retail businesses,%,-0.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,"Motor trades and automotive fuel (45,4730)",%,-2.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,"All retail businesses, excluding motor trades and bars",%,0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,"All retail businesses, excluding motor trades",%,-0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,"All retail businesses, excluding motor trades, automotive fuel and bars",%,-0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,"Retail sale of food (4711,4721 to 4729)",%,0.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,-0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,-0.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,"Retail sale of electrical goods (4741 to 4743,4754)",%,0.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,0.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,-2.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,-2.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,"Retail sale of books, newspapers and stationery (4761,4762)",%,1.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 August,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,0.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,Motor trades (45),%,0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,Department stores (4719),%,0.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,Retail sale of automotive fuel (4730),%,-0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,"Retail sale of hardware, paints and glass (4752)",%,1.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,Retail sale of furniture and lighting (4759),%,0.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,Bars (5630),%,0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,All retail businesses,%,0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,"Motor trades and automotive fuel (45,4730)",%,0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,"All retail businesses, excluding motor trades and bars",%,0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,"All retail businesses, excluding motor trades",%,0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,"All retail businesses, excluding motor trades, automotive fuel and bars",%,0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,"Retail sale of food (4711,4721 to 4729)",%,0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,1.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,0.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,2.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,"Retail sale of electrical goods (4741 to 4743,4754)",%,3.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,0.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,0.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,"Retail sale of books, newspapers and stationery (4761,4762)",%,3.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 September,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,-1.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,Motor trades (45),%,5.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,Department stores (4719),%,-3.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,Retail sale of automotive fuel (4730),%,-0.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,"Retail sale of hardware, paints and glass (4752)",%,2.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,Retail sale of furniture and lighting (4759),%,-0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,Bars (5630),%,0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,All retail businesses,%,0.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,"Motor trades and automotive fuel (45,4730)",%,2.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,"All retail businesses, excluding motor trades and bars",%,0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,"All retail businesses, excluding motor trades",%,0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,"All retail businesses, excluding motor trades, automotive fuel and bars",%,0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,"Retail sale of food (4711,4721 to 4729)",%,0.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,-2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,"Retail sale of electrical goods (4741 to 4743,4754)",%,-0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,1.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,0.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,0.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,"Retail sale of books, newspapers and stationery (4761,4762)",%,-0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 October,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,-0.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,Motor trades (45),%,-1.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,2.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,Department stores (4719),%,1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,Retail sale of automotive fuel (4730),%,0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,"Retail sale of hardware, paints and glass (4752)",%,-1.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,Retail sale of furniture and lighting (4759),%,1.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,Bars (5630),%,1.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,All retail businesses,%,0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,"Motor trades and automotive fuel (45,4730)",%,-2.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,"All retail businesses, excluding motor trades and bars",%,1.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,"All retail businesses, excluding motor trades",%,0.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,"All retail businesses, excluding motor trades, automotive fuel and bars",%,1.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,"Retail sale of food (4711,4721 to 4729)",%,2.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,1.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,-0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,"Retail sale of electrical goods (4741 to 4743,4754)",%,-0.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,-1.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,1.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,1.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,"Retail sale of books, newspapers and stationery (4761,4762)",%,0.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 November,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,-0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,Motor trades (45),%,0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,0.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,Department stores (4719),%,-0.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,Retail sale of automotive fuel (4730),%,1.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,"Retail sale of hardware, paints and glass (4752)",%,1.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,Retail sale of furniture and lighting (4759),%,-2.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,Bars (5630),%,4.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,All retail businesses,%,1.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,"Motor trades and automotive fuel (45,4730)",%,3.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,"All retail businesses, excluding motor trades and bars",%,1.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,"All retail businesses, excluding motor trades",%,1.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,"All retail businesses, excluding motor trades, automotive fuel and bars",%,1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,"Retail sale of food (4711,4721 to 4729)",%,0.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,0.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,-2.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,"Retail sale of electrical goods (4741 to 4743,4754)",%,-1.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,0.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,0.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,"Retail sale of books, newspapers and stationery (4761,4762)",%,0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2024 December,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,1.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,Motor trades (45),%,0.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,-0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,Department stores (4719),%,-5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,Retail sale of automotive fuel (4730),%,-1.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,"Retail sale of hardware, paints and glass (4752)",%,-5.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,Retail sale of furniture and lighting (4759),%,-0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,Bars (5630),%,-4.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,All retail businesses,%,-1.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,"Motor trades and automotive fuel (45,4730)",%,0.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,"All retail businesses, excluding motor trades and bars",%,-2.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,"All retail businesses, excluding motor trades",%,-3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,"All retail businesses, excluding motor trades, automotive fuel and bars",%,-3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,"Retail sale of food (4711,4721 to 4729)",%,-0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,-4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,-0.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,-3.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,"Retail sale of electrical goods (4741 to 4743,4754)",%,-1.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,-3.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,-2.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,-2.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,"Retail sale of books, newspapers and stationery (4761,4762)",%,-0.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 January,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,-2.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,Motor trades (45),%,1.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,0.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,Department stores (4719),%,5.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,Retail sale of automotive fuel (4730),%,3.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,"Retail sale of hardware, paints and glass (4752)",%,2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,Retail sale of furniture and lighting (4759),%,-3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,Bars (5630),%,2.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,All retail businesses,%,1.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,"Motor trades and automotive fuel (45,4730)",%,1.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,"All retail businesses, excluding motor trades and bars",%,2.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,"All retail businesses, excluding motor trades",%,2.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,"All retail businesses, excluding motor trades, automotive fuel and bars",%,2.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,"Retail sale of food (4711,4721 to 4729)",%,0.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,3.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,-0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,3.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,"Retail sale of electrical goods (4741 to 4743,4754)",%,3.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,3.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,1.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,2.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,"Retail sale of books, newspapers and stationery (4761,4762)",%,-0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 February,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,5.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,Motor trades (45),%,0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,1.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,Department stores (4719),%,0.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,Retail sale of automotive fuel (4730),%,-2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,"Retail sale of hardware, paints and glass (4752)",%,5.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,Retail sale of furniture and lighting (4759),%,3.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,Bars (5630),%,0.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,All retail businesses,%,-0.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,"Motor trades and automotive fuel (45,4730)",%,-0.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,"All retail businesses, excluding motor trades and bars",%,0.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,"All retail businesses, excluding motor trades",%,-0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,"All retail businesses, excluding motor trades, automotive fuel and bars",%,0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,"Retail sale of food (4711,4721 to 4729)",%,1.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,-0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,0.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,1.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,"Retail sale of electrical goods (4741 to 4743,4754)",%,-1.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,-0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,-0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,"Retail sale of books, newspapers and stationery (4761,4762)",%,1.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 March,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,-0.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,Motor trades (45),%,1.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,Department stores (4719),%,-0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,Retail sale of automotive fuel (4730),%,-0.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,"Retail sale of hardware, paints and glass (4752)",%,0.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,Retail sale of furniture and lighting (4759),%,2.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,Bars (5630),%,-3.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,All retail businesses,%,0.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,"Motor trades and automotive fuel (45,4730)",%,0.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,"All retail businesses, excluding motor trades and bars",%,-0.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,"All retail businesses, excluding motor trades",%,0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,"All retail businesses, excluding motor trades, automotive fuel and bars",%,-0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,"Retail sale of food (4711,4721 to 4729)",%,-0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,-0.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,1.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,0.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,"Retail sale of electrical goods (4741 to 4743,4754)",%,-0.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,-0.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,-0.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,"Retail sale of books, newspapers and stationery (4761,4762)",%,2.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 April,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,1.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 May,Motor trades (45),%,-2.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 May,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 May,Department stores (4719),%,-2.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 May,Retail sale of automotive fuel (4730),%,0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 May,"Retail sale of hardware, paints and glass (4752)",%,-2.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 May,Retail sale of furniture and lighting (4759),%,0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 May,Bars (5630),%,4.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 May,All retail businesses,%,-0.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 May,"Motor trades and automotive fuel (45,4730)",%,-2.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 May,"All retail businesses, excluding motor trades and bars",%,0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 May,"All retail businesses, excluding motor trades",%,0.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 May,"All retail businesses, excluding motor trades, automotive fuel and bars",%,0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 May,"Retail sale of food (4711,4721 to 4729)",%,-0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 May,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,0.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 May,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,-2.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 May,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,-0.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 May,"Retail sale of electrical goods (4741 to 4743,4754)",%,-1.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2025 May,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,0.4
